"filename", "language", "JavaScript", "JSON", "XML", "Markdown", "JavaScript JSX", "JSON with Comments", "SCSS", "comment", "blank", "total"
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/AutoLinkPlugin.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/CodeHighlightPlugin.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/ConvertToHtmlPlugin.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 6, 26
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/FloatingMenuPlugin.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 3, 15, 78
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/ListMaxIndentLevelPlugin.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 14, 69
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/LocalStorage.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 3, 9, 37
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/ToolbarPlugin.js", "JavaScript", 648, 0, 0, 0, 0, 0, 0, 10, 47, 705
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/TreeViewPlugin.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/debounce.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 10, 0, 17
"/Users/theodorechan/Projects/TTL/ttl-website/components/editor-plugins/url.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/theodorechan/Projects/TTL/ttl-website/context/EpisdoesContextv2.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 10, 7, 87
"/Users/theodorechan/Projects/TTL/ttl-website/context/EpisodesContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 1, 6, 34
"/Users/theodorechan/Projects/TTL/ttl-website/firebase.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 7, 3, 28
"/Users/theodorechan/Projects/TTL/ttl-website/hooks/pointerInteractions.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 7, 32
"/Users/theodorechan/Projects/TTL/ttl-website/hooks/scrollDirectionHook.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/theodorechan/Projects/TTL/ttl-website/hooks/stateRef.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/theodorechan/Projects/TTL/ttl-website/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 4, 0, 4, 0, 8
"/Users/theodorechan/Projects/TTL/ttl-website/next.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/theodorechan/Projects/TTL/ttl-website/package-lock.json", "JSON", 0, 10789, 0, 0, 0, 0, 0, 0, 1, 10790
"/Users/theodorechan/Projects/TTL/ttl-website/package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/theodorechan/Projects/TTL/ttl-website/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/theodorechan/Projects/TTL/ttl-website/public/Logo.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/arrow.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/pause.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/pauseWhite.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/play.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/playWhite.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/playerBase.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/theodorechan/Projects/TTL/ttl-website/public/icons/playerCursor.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-emoji/LICENSE.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/LICENSE.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/arrow-clockwise.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/arrow-counterclockwise.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/chat-square-quote.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/chevron-down.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/code.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/journal-code.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/journal-text.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/justify.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/link.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/list-ol.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/list-ul.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/pencil-fill.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/text-center.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/text-left.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/text-paragraph.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/text-right.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-bold.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-h1.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-h2.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-h3.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-italic.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-strikethrough.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/lexical-icons/type-underline.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/theodorechan/Projects/TTL/ttl-website/public/next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/theodorechan/Projects/TTL/ttl-website/public/rss.xml", "XML", 0, 0, 2250, 0, 0, 0, 0, 0, 5, 2255
"/Users/theodorechan/Projects/TTL/ttl-website/public/vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/theodorechan/Projects/TTL/ttl-website/public/world.svg", "XML", 0, 0, 480, 0, 0, 0, 0, 0, 1, 481
"/Users/theodorechan/Projects/TTL/ttl-website/tailwind.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"Total", "-", 926, 10819, 2840, 29, 3688, 4, 3792, 636, 803, 23537
